/id,/label,/createdAt,/tags/id,/tags/captureSpeed,tags/gravityFilter,tags/averageFilter,/device/id,/device/androidId,/device/name,/device/manufacturer,/device/brand,/device/model,/device/accelerometerMaxRange,/device/accelerometerName,/device/accelerometerMinDelay,/device/gyroscopeMaxRange,/device/gyroscopeName,/device/gyroscopeMinDelay,/capturedData/id,/capturedData/accelerometerXAxis,/capturedData/accelerometerYAxis,/capturedData/accelerometerZAxis,/capturedData/minXAccelerometer,/capturedData/minYAccelerometer,/capturedData/minZAccelerometer,/capturedData/maxXAccelerometer,/capturedData/maxYAccelerometer,/capturedData/maxZAccelerometer,/capturedData/gyroscopeXAxis,/capturedData/gyroscopeYAxis,/capturedData/gyroscopeZAxis,/capturedData/minXGyroscope,/capturedData/minYGyroscope,/capturedData/minZGyroscope,/capturedData/maxXGyroscope,/capturedData/maxYGyroscope,/capturedData/maxZGyroscope,/capturedData/locationLatitude,/capturedData/locationLongitude,/capturedData/Speedkmh,/capturedData/avgSpeed,/capturedData/maxSpeed,/capturedData/createdAt
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3739,-0.24228724837303162,-0.05691337585449219,0.05875128507614136,-0.3006187379360199,-0.06360435485839844,-0.5364854335784912,1.1240309476852417,0.3600912094116211,0.5665891170501709,-0.018936822190880775,-0.006108651868999004,0.021380282938480377,-0.03848451003432274,-0.04337143152952194,-0.01160643994808197,0.05497787147760391,0.03237585723400116,0.054367005825042725,39.470760345458984,-8.220381736755371,0.10000000149011612,0.30000001192092896,0.5,2023-04-16T21:33:14.067+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3740,-0.5875023603439331,0.4326448440551758,-0.8009999990463257,-0.5875023603439331,-0.06360435485839844,-0.8009999990463257,1.1240309476852417,0.4326448440551758,0.5665891170501709,0.03176499158143997,0.07880161702632904,0.036041051149368286,-0.03848451003432274,-0.04337143152952194,-0.01160643994808197,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.470760345458984,-8.220381736755371,0.10000000149011612,0.30000001192092896,0.5,2023-04-16T21:33:14.172+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3741,0.2664262652397156,0.2627134323120117,0.41885268688201904,-0.5875023603439331,-0.06360435485839844,-0.8009999990463257,1.1240309476852417,0.4326448440551758,0.5665891170501709,0.04153883829712868,-0.02871066704392433,0.02871066704392433,-0.03848451003432274,-0.04337143152952194,-0.01160643994808197,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:14.276+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3742,-0.40107494592666626,0.3895740509033203,-0.3584707975387573,-0.5875023603439331,-0.06360435485839844,-0.8009999990463257,1.1240309476852417,0.4326448440551758,0.5665891170501709,-0.0354301854968071,-0.05314527451992035,0.02076941914856434,-0.03848451003432274,-0.05314527451992035,-0.01160643994808197,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:14.381+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3743,0.38136810064315796,0.5378293991088867,-0.33593425154685974,-0.5875023603439331,-0.06360435485839844,-0.8009999990463257,1.1240309476852417,0.5378293991088867,0.5665891170501709,-0.0024434609804302454,0.06352998316287994,-0.01771509274840355,-0.03848451003432274,-0.05314527451992035,-0.01771509274840355,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:14.487+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3744,0.15874738991260529,0.3387928009033203,0.0666084885597229,-0.5875023603439331,-0.06360435485839844,-0.8009999990463257,1.1240309476852417,0.5378293991088867,0.5665891170501709,-0.013439035043120384,-0.03298672288656235,0.0036651920527219772,-0.03848451003432274,-0.05314527451992035,-0.01771509274840355,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:14.598+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3745,-0.5475868582725525,0.2715120315551758,-0.5852037668228149,-0.5875023603439331,-0.06360435485839844,-0.8009999990463257,1.1240309476852417,0.5378293991088867,0.5665891170501709,-0.039095375686883926,-0.04764748737215996,0.01038470957428217,-0.039095375686883926,-0.05314527451992035,-0.01771509274840355,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:14.705+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3746,-0.04945492744445801,0.15901756286621094,-0.26652809977531433,-0.5875023603439331,-0.06360435485839844,-0.8009999990463257,1.1240309476852417,0.5378293991088867,0.5665891170501709,-6.108650122769177E-4,0.02687807008624077,-0.00733038317412138,-0.039095375686883926,-0.05314527451992035,-0.01771509274840355,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:14.817+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3747,0.481065034866333,-0.10916996002197266,0.7405905723571777,-0.5875023603439331,-0.10916996002197266,-0.8009999990463257,1.1240309476852417,0.5378293991088867,0.7405905723571777,0.03420845419168472,0.04886921867728233,-0.013439035043120384,-0.039095375686883926,-0.05314527451992035,-0.01771509274840355,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:14.927+01:00
6,20kmh fast acceleration(0),2023-04-16T21:33:14.060+01:00,6,105.0,true,Mean Filter,1,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000,3748,0.3347700238227844,0.09175395965576172,0.6155624985694885,-0.5875023603439331,-0.10916996002197266,-0.8009999990463257,1.1240309476852417,0.5378293991088867,0.7405905723571777,0.021991148591041565,-0.003054325934499502,0.003054325934499502,-0.039095375686883926,-0.05314527451992035,-0.01771509274840355,0.05497787147760391,0.07880161702632904,0.054367005825042725,39.47075271606445,-8.22040843963623,0.10000000149011612,0.23000000417232513,0.5,2023-04-16T21:33:15.039+01:00
